,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3
38,11500000000.0,-3.570435617E+01,-1.641277063E+01,11600000000.0,-3.273221489E+01,-1.409879273E+02,11700000000.0,"-3.474621369E+01
","1.237995489E+02
"
39,11500000000.0,-3.334458616E+01,-1.661483739E+01,11600000000.0,-3.135470864E+01,-1.399437594E+02,11700000000.0,"-3.278448930E+01
","1.171823583E+02
"
40,11500000000.0,-3.412707869E+01,-8.935906524E+00,11600000000.0,-3.184823311E+01,-1.322355078E+02,11700000000.0,"-3.339594282E+01
","1.238040117E+02
"
41,11500000000.0,-3.553651409E+01,-1.916737685E+00,11600000000.0,-3.219877698E+01,-1.259692062E+02,11700000000.0,"-3.438604221E+01
","1.319486998E+02
"
42,11500000000.0,-3.585842996E+01,1.360902811E+01,11600000000.0,-3.335914766E+01,1.604477855E+01,11700000000.0,"-3.483657233E+01
","-3.095201568E+01
"
43,11500000000.0,-3.429889736E+01,-2.106324581E+01,11600000000.0,-3.244247203E+01,-1.396991257E+02,11700000000.0,"-3.470189995E+01
","1.177777803E+02
"
44,11500000000.0,-3.369463701E+01,-1.848131746E+00,11600000000.0,-3.088483884E+01,-1.277359374E+02,11700000000.0,"-3.279584995E+01
","1.361157265E+02
"
45,11500000000.0,-3.351758905E+01,4.245085197E+00,11600000000.0,-3.185133798E+01,-1.158895633E+02,11700000000.0,"-3.365388568E+01
","1.408055349E+02
"
46,11500000000.0,-3.540699735E+01,-1.532844122E+00,11600000000.0,-3.270430887E+01,-1.162311363E+02,11700000000.0,"-3.626796207E+01
","1.402077242E+02
"
47,11500000000.0,-3.953441100E+01,-1.224565573E+01,11600000000.0,-3.751142437E+01,-1.314143058E+02,11700000000.0,"-3.978429786E+01
","1.303102344E+02
"
48,11500000000.0,-3.941965396E+01,1.471240879E+01,11600000000.0,-3.755398652E+01,-1.080202723E+02,11700000000.0,"-4.090337811E+01
","1.505323657E+02
"
49,11500000000.0,-3.578392519E+01,2.314242855E+01,11600000000.0,-3.495826524E+01,-9.235202017E+01,11700000000.0,"-3.717460819E+01
","1.616854279E+02
"
50,11500000000.0,-3.525661749E+01,1.318256387E+01,11600000000.0,-3.367837273E+01,-9.700596802E+01,11700000000.0,"-3.645822560E+01
","1.640909696E+02
"
51,11500000000.0,-3.418793089E+01,9.054645481E+00,11600000000.0,-3.183994091E+01,-1.135327856E+02,11700000000.0,"-3.396546203E+01
","1.486879002E+02
"
52,11500000000.0,-3.545888809E+01,-8.537247853E-01,11600000000.0,-3.330496633E+01,-1.208485002E+02,11700000000.0,"-3.544521264E+01
","1.431733324E+02
"
53,11500000000.0,-3.856879936E+01,-1.208669601E+01,11600000000.0,-3.569295166E+01,-1.367757228E+02,11700000000.0,"-3.562333515E+01
","1.378885131E+02
"
54,11500000000.0,-3.528523456E+01,-7.314488442E+00,11600000000.0,-3.367478063E+01,-1.267663678E+02,11700000000.0,"-3.471180064E+01
","1.344566505E+02
"
55,11500000000.0,-6.800277954E+01,-9.919154816E+00,11600000000.0,-6.259431650E+01,-1.282717694E+02,11700000000.0,"-6.578525048E+01
","1.368360896E+02
"
56,11500000000.0,-3.444195952E+01,-7.848873473E+00,11600000000.0,-3.291226281E+01,-1.284392511E+02,11700000000.0,"-3.423078085E+01
","1.335769197E+02
"
57,11500000000.0,-3.623467099E+01,-5.089417937E-01,11600000000.0,-3.352880768E+01,-1.159015071E+02,11700000000.0,"-3.571720635E+01
","1.467483555E+02
"
58,11500000000.0,-3.742389353E+01,-7.848573420E+00,11600000000.0,-3.590404785E+01,-1.296803504E+02,11700000000.0,"-3.698522368E+01
","1.344914232E+02
"
59,11500000000.0,-3.646537208E+01,-1.359311247E+01,11600000000.0,-3.471765571E+01,-1.357012423E+02,11700000000.0,"-3.582309181E+01
","1.308337744E+02
"
60,11500000000.0,-3.413616989E+01,-8.364146865E+00,11600000000.0,-3.227172991E+01,-1.265974597E+02,11700000000.0,"-3.398922238E+01
","1.356694905E+02
"
61,11500000000.0,-3.460150969E+01,-8.001165435E-01,11600000000.0,-3.280552104E+01,-1.162622717E+02,11700000000.0,"-3.461216470E+01
","1.474131988E+02
"
