,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3
76,11500000000.0,-3.526907125E+01,-1.099178589E+01,11600000000.0,-3.347801949E+01,-1.299651031E+02,11700000000.0,"-3.499846900E+01
","1.368077028E+02
"
77,11500000000.0,-3.647810495E+01,-1.011422551E+01,11600000000.0,-3.561535042E+01,-1.226159027E+02,11700000000.0,"-3.781431410E+01
","1.330854924E+02
"
78,11500000000.0,-3.844731309E+01,1.128439762E+01,11600000000.0,-3.840094398E+01,-1.123659960E+02,11700000000.0,"-3.877472723E+01
","1.498330306E+02
"
79,11500000000.0,-3.913885130E+01,7.553205906E+00,11600000000.0,-3.807551671E+01,-1.062604359E+02,11700000000.0,"-4.105412070E+01
","1.614826056E+02
"
80,11500000000.0,-3.970840428E+01,-1.632681021E+01,11600000000.0,-3.768465990E+01,-1.363790955E+02,11700000000.0,"-4.056303952E+01
","1.287235605E+02
"
81,11500000000.0,-3.691818551E+01,-1.211178023E+01,11600000000.0,-3.524493628E+01,-1.232757676E+02,11700000000.0,"-3.833325758E+01
","1.360906975E+02
"
82,11500000000.0,-3.567250898E+01,-1.446545544E+01,11600000000.0,-3.378800112E+01,-1.368514707E+02,11700000000.0,"-3.545589603E+01
","1.311112987E+02
"
83,11500000000.0,-3.475927212E+01,-2.225095319E+01,11600000000.0,-3.206980408E+01,-1.413278501E+02,11700000000.0,"-3.411489442E+01
","1.173714504E+02
"
84,11500000000.0,-3.472504060E+01,-2.965678584E+01,11600000000.0,-3.352361043E+01,-1.509644175E+02,11700000000.0,"-3.504866190E+01
","1.072916688E+02
"
85,11500000000.0,-3.617695894E+01,-3.043882367E+01,11600000000.0,-3.386146172E+01,-1.514829602E+02,11700000000.0,"-3.538981133E+01
","1.112257400E+02
"
86,11500000000.0,-3.517005610E+01,-2.543036029E+01,11600000000.0,-3.232317288E+01,-1.405420058E+02,11700000000.0,"-3.466306409E+01
","1.162289903E+02
"
